Temperature - (Celsius), Year, Statistics, Country, ISO3
7.58794, 2001, Feb Average, Iran, IRN
13.323, 2001, Mar Average, Iran, IRN
19.422, 2001, Apr Average, Iran, IRN
24.0826, 2001, May Average, Iran, IRN
27.425, 2001, Jun Average, Iran, IRN
29.306, 2001, Jul Average, Iran, IRN
28.298, 2001, Aug Average, Iran, IRN
24.5527, 2001, Sep Average, Iran, IRN
19.1846, 2001, Oct Average, Iran, IRN
12.4121, 2001, Nov Average, Iran, IRN
9.57064, 2001, Dec Average, Iran, IRN
5.75831, 2002, Jan Average, Iran, IRN
8.39885, 2002, Feb Average, Iran, IRN
13.2447, 2002, Mar Average, Iran, IRN
17.0734, 2002, Apr Average, Iran, IRN
22.6728, 2002, May Average, Iran, IRN
27.1112, 2002, Jun Average, Iran, IRN
28.9279, 2002, Jul Average, Iran, IRN
28.5478, 2002, Aug Average, Iran, IRN
24.9861, 2002, Sep Average, Iran, IRN
20.4317, 2002, Oct Average, Iran, IRN
12.3033, 2002, Nov Average, Iran, IRN
5.80315, 2002, Dec Average, Iran, IRN
6.13388, 2003, Jan Average, Iran, IRN
8.41034, 2003, Feb Average, Iran, IRN
11.285, 2003, Mar Average, Iran, IRN
17.6832, 2003, Apr Average, Iran, IRN
21.341, 2003, May Average, Iran, IRN
26.8735, 2003, Jun Average, Iran, IRN
29.9345, 2003, Jul Average, Iran, IRN
28.1832, 2003, Aug Average, Iran, IRN
23.9646, 2003, Sep Average, Iran, IRN
20.0425, 2003, Oct Average, Iran, IRN
11.3212, 2003, Nov Average, Iran, IRN
6.97334, 2003, Dec Average, Iran, IRN
7.17161, 2004, Jan Average, Iran, IRN
9.37317, 2004, Feb Average, Iran, IRN
13.8601, 2004, Mar Average, Iran, IRN
16.7316, 2004, Apr Average, Iran, IRN
22.4411, 2004, May Average, Iran, IRN
27.1536, 2004, Jun Average, Iran, IRN
28.1446, 2004, Jul Average, Iran, IRN
28.4117, 2004, Aug Average, Iran, IRN
23.9098, 2004, Sep Average, Iran, IRN
18.4298, 2004, Oct Average, Iran, IRN
13.2577, 2004, Nov Average, Iran, IRN
5.63917, 2004, Dec Average, Iran, IRN
4.46929, 2005, Jan Average, Iran, IRN
5.53928, 2005, Feb Average, Iran, IRN
12.5384, 2005, Mar Average, Iran, IRN
17.9311, 2005, Apr Average, Iran, IRN
21.6452, 2005, May Average, Iran, IRN
26.9284, 2005, Jun Average, Iran, IRN
29.8182, 2005, Jul Average, Iran, IRN
28.0591, 2005, Aug Average, Iran, IRN
24.9498, 2005, Sep Average, Iran, IRN
19.1915, 2005, Oct Average, Iran, IRN
11.8375, 2005, Nov Average, Iran, IRN
8.95656, 2005, Dec Average, Iran, IRN
3.9957, 2006, Jan Average, Iran, IRN
9.71804, 2006, Feb Average, Iran, IRN
13.072, 2006, Mar Average, Iran, IRN
18.2143, 2006, Apr Average, Iran, IRN
24.0595, 2006, May Average, Iran, IRN
27.6597, 2006, Jun Average, Iran, IRN
29.4892, 2006, Jul Average, Iran, IRN
28.4343, 2006, Aug Average, Iran, IRN
23.9032, 2006, Sep Average, Iran, IRN
20.4598, 2006, Oct Average, Iran, IRN
11.8836, 2006, Nov Average, Iran, IRN
4.23512, 2006, Dec Average, Iran, IRN
3.80876, 2007, Jan Average, Iran, IRN
8.07499, 2007, Feb Average, Iran, IRN
10.9434, 2007, Mar Average, Iran, IRN
17.8432, 2007, Apr Average, Iran, IRN
23.1468, 2007, May Average, Iran, IRN
27.782, 2007, Jun Average, Iran, IRN
29.0448, 2007, Jul Average, Iran, IRN
27.8508, 2007, Aug Average, Iran, IRN
23.9319, 2007, Sep Average, Iran, IRN
17.8761, 2007, Oct Average, Iran, IRN
13.3252, 2007, Nov Average, Iran, IRN
6.26531, 2007, Dec Average, Iran, IRN
-0.2054, 2008, Jan Average, Iran, IRN
5.36635, 2008, Feb Average, Iran, IRN
15.3485, 2008, Mar Average, Iran, IRN
19.1239, 2008, Apr Average, Iran, IRN
23.6694, 2008, May Average, Iran, IRN
28.1991, 2008, Jun Average, Iran, IRN
29.7687, 2008, Jul Average, Iran, IRN
28.0488, 2008, Aug Average, Iran, IRN
24.8898, 2008, Sep Average, Iran, IRN
19.382, 2008, Oct Average, Iran, IRN
11.4357, 2008, Nov Average, Iran, IRN
6.7473, 2008, Dec Average, Iran, IRN
4.98653, 2009, Jan Average, Iran, IRN
9.5709, 2009, Feb Average, Iran, IRN
13.3918, 2009, Mar Average, Iran, IRN
15.4173, 2009, Apr Average, Iran, IRN
23.3302, 2009, May Average, Iran, IRN
26.0075, 2009, Jun Average, Iran, IRN
29.5503, 2009, Jul Average, Iran, IRN
28.7122, 2009, Aug Average, Iran, IRN
24.1244, 2009, Sep Average, Iran, IRN
18.373, 2009, Oct Average, Iran, IRN
12.3743, 2009, Nov Average, Iran, IRN
7.80898, 2009, Dec Average, Iran, IRN
8.22685, 2010, Jan Average, Iran, IRN
9.2411, 2010, Feb Average, Iran, IRN
14.6681, 2010, Mar Average, Iran, IRN
18.4911, 2010, Apr Average, Iran, IRN
23.1901, 2010, May Average, Iran, IRN
28.172, 2010, Jun Average, Iran, IRN
30.1231, 2010, Jul Average, Iran, IRN
27.7524, 2010, Aug Average, Iran, IRN
24.1283, 2010, Sep Average, Iran, IRN
20.6528, 2010, Oct Average, Iran, IRN
12.1219, 2010, Nov Average, Iran, IRN
8.07553, 2010, Dec Average, Iran, IRN
5.34661, 2011, Jan Average, Iran, IRN
7.09739, 2011, Feb Average, Iran, IRN
11.7551, 2011, Mar Average, Iran, IRN
18.3013, 2011, Apr Average, Iran, IRN
23.9642, 2011, May Average, Iran, IRN
28.4321, 2011, Jun Average, Iran, IRN
29.4636, 2011, Jul Average, Iran, IRN
28.6809, 2011, Aug Average, Iran, IRN
24.257, 2011, Sep Average, Iran, IRN
18.4, 2011, Oct Average, Iran, IRN
10.2752, 2011, Nov Average, Iran, IRN
5.56928, 2011, Dec Average, Iran, IRN
5.26433, 2012, Jan Average, Iran, IRN
5.36519, 2012, Feb Average, Iran, IRN
10.5138, 2012, Mar Average, Iran, IRN
18.061, 2012, Apr Average, Iran, IRN
23.7857, 2012, May Average, Iran, IRN
26.9119, 2012, Jun Average, Iran, IRN
29.2481, 2012, Jul Average, Iran, IRN
28.259, 2012, Aug Average, Iran, IRN
24.1307, 2012, Sep Average, Iran, IRN
18.9727, 2012, Oct Average, Iran, IRN
12.7341, 2012, Nov Average, Iran, IRN
7.17826, 2012, Dec Average, Iran, IRN
6.6637, 2013, Jan Average, Iran, IRN
8.89561, 2013, Feb Average, Iran, IRN
13.2573, 2013, Mar Average, Iran, IRN
17.3167, 2013, Apr Average, Iran, IRN
22.8868, 2013, May Average, Iran, IRN
28.39, 2013, Jun Average, Iran, IRN
30.1421, 2013, Jul Average, Iran, IRN
28.2029, 2013, Aug Average, Iran, IRN
25.0263, 2013, Sep Average, Iran, IRN
19.0828, 2013, Oct Average, Iran, IRN
12.3483, 2013, Nov Average, Iran, IRN
5.99316, 2013, Dec Average, Iran, IRN
5.05199, 2014, Jan Average, Iran, IRN
5.04736, 2014, Feb Average, Iran, IRN
13.0348, 2014, Mar Average, Iran, IRN
18.517, 2014, Apr Average, Iran, IRN
24.1198, 2014, May Average, Iran, IRN
28.6808, 2014, Jun Average, Iran, IRN
30.1945, 2014, Jul Average, Iran, IRN
29.3703, 2014, Aug Average, Iran, IRN
25.8551, 2014, Sep Average, Iran, IRN
18.8014, 2014, Oct Average, Iran, IRN
10.5509, 2014, Nov Average, Iran, IRN
7.29314, 2014, Dec Average, Iran, IRN
6.81722, 2015, Jan Average, Iran, IRN
8.87059, 2015, Feb Average, Iran, IRN
11.6158, 2015, Mar Average, Iran, IRN
19.1254, 2015, Apr Average, Iran, IRN
24.2077, 2015, May Average, Iran, IRN
29.5281, 2015, Jun Average, Iran, IRN
30.1542, 2015, Jul Average, Iran, IRN
29.0276, 2015, Aug Average, Iran, IRN
24.5621, 2015, Sep Average, Iran, IRN
19.3217, 2015, Oct Average, Iran, IRN
12.0019, 2015, Nov Average, Iran, IRN
6.52856, 2015, Dec Average, Iran, IRN
7.29824, 2016, Jan Average, Iran, IRN
9.16896, 2016, Feb Average, Iran, IRN
13.6676, 2016, Mar Average, Iran, IRN
17.8158, 2016, Apr Average, Iran, IRN
24.6454, 2016, May Average, Iran, IRN
28.2153, 2016, Jun Average, Iran, IRN
30.4708, 2016, Jul Average, Iran, IRN
28.7549, 2016, Aug Average, Iran, IRN
25.9207, 2016, Sep Average, Iran, IRN
18.5889, 2016, Oct Average, Iran, IRN
10.8553, 2016, Nov Average, Iran, IRN
8.24654, 2016, Dec Average, Iran, IRN
